sample,pct_miss,city,site_abbv,nlcd_urban_pct,id,management_type,name,value
TO.BO.HC2.M.3,(82),Boston,HC2,17.451061426376246,3,M,K3,0.001
TO.BO.HC2.M.4,(86),Boston,HC2,17.451061426376246,4,M,K1,0.037
TO.BO.HC2.M.4,(86),Boston,HC2,17.451061426376246,4,M,K2,0.961
TO.BO.HC2.M.4,(86),Boston,HC2,17.451061426376246,4,M,K3,0.002
TO.BO.HC2.M.5,(56),Boston,HC2,17.451061426376246,5,M,K1,0.561
TO.BO.HC2.M.5,(56),Boston,HC2,17.451061426376246,5,M,K2,0.437
TO.BO.HC2.M.5,(56),Boston,HC2,17.451061426376246,5,M,K3,0.002
TO.BA.CP.U.1,(71),Baltimore,CP,17.627778579497324,1,U,K1,0.009
TO.BA.CP.U.1,(71),Baltimore,CP,17.627778579497324,1,U,K2,0.99
TO.BA.CP.U.1,(71),Baltimore,CP,17.627778579497324,1,U,K3,0.001
TO.BA.CP.U.2,(72),Baltimore,CP,17.627778579497324,2,U,K1,0.004
TO.BA.CP.U.2,(72),Baltimore,CP,17.627778579497324,2,U,K2,0.996
TO.BA.CP.U.2,(72),Baltimore,CP,17.627778579497324,2,U,K3,0.001
TO.BA.CP.U.3,(63),Baltimore,CP,17.627778579497324,3,U,K1,0.047
TO.BA.CP.U.3,(63),Baltimore,CP,17.627778579497324,3,U,K2,0.952
TO.BA.CP.U.3,(63),Baltimore,CP,17.627778579497324,3,U,K3,0.001
TO.BA.CP.U.4,(52),Baltimore,CP,17.627778579497324,4,U,K1,0.001
TO.BA.CP.U.4,(52),Baltimore,CP,17.627778579497324,4,U,K2,0.001
TO.BA.CP.U.4,(52),Baltimore,CP,17.627778579497324,4,U,K3,0.998
TO.BO.HC1.M.1,(67),Boston,HC1,18.150702234447383,1,M,K1,0.001
TO.BO.HC1.M.1,(67),Boston,HC1,18.150702234447383,1,M,K2,0.001
TO.BO.HC1.M.1,(67),Boston,HC1,18.150702234447383,1,M,K3,0.998
TO.BO.HC1.M.2,(63),Boston,HC1,18.150702234447383,2,M,K1,0.25
TO.BO.HC1.M.2,(63),Boston,HC1,18.150702234447383,2,M,K2,0.747
TO.BO.HC1.M.2,(63),Boston,HC1,18.150702234447383,2,M,K3,0.002
TO.BO.HC1.M.3,(79),Boston,HC1,18.150702234447383,3,M,K1,0.002
TO.BO.HC1.M.3,(79),Boston,HC1,18.150702234447383,3,M,K2,0.019
